kind,commentId,channelId,videoId,authorId,textOriginal,parentCommentId,likeCount,publishedAt,updatedAt,translated,spam,cleaned,emotion,sentiment_scores,final_sentiment,category,relevance_score,sentiment_score,normalized_likes,quality_score,is_quality
youtube#comment,2895557,15366,0,2425288,"The, uh, *shape* of the containers is something else 😳",,4,2022-09-23 19:12:24+00:00,2022-09-23 19:12:24+00:00,"The, uh, *shape* of the containers is something else 😳",mild gibberish,uh shape container something else,"[['curiosity', 0.9953631162643433], ['neutral', 0.9831505417823792], ['confusion', 0.9330088496208191]]","{'positive': 0.9953631162643433, 'negative': 0.9330088496208191, 'neutral': 0.9831505417823792}",positive,other,0.0,0.9953631162643433,0.16762825015691366,0.0,False
youtube#comment,101047,29145,0,3378074,And with perfect people like you â¤ï¸ðŸŒ¸,2214515.0,1,2021-11-11 03:33:45+00:00,2021-11-11 03:33:45+00:00,And with perfect people like you â¤ï¸ðŸŒ¸,word salad,perfect people like,"[['admiration', 0.9957285523414612], ['pride', 0.9119880199432373], ['neutral', 0.8961336016654968]]","{'positive': 1.9077165722846985, 'negative': 0.0, 'neutral': 0.8961336016654968}",positive,other,0.0,1.9077165722846985,0.07219355781344529,0.0,False
youtube#comment,2555,30692,0,3456989,Please don't call me sir😅😅 best part is you reply to every component,2452518.0,1,2020-02-12 15:27:17+00:00,2020-02-12 15:27:17+00:00,Please don't call me sir😅😅 best part is you reply to every component,mild gibberish,please not_call sir best part reply every component,"[['caring', 0.964708685874939]]","{'positive': 0.964708685874939, 'negative': 0.0, 'neutral': 0.0}",positive,other,0.0,0.964708685874939,0.07219355781344529,0.0,False
youtube#comment,1822478,15366,0,3390312,Lol All you need is to put your hair in two ponytails and you'll look like Harley Quinn! You could definitely pull that look off!,,33,2022-09-23 19:26:44+00:00,2022-09-23 19:26:44+00:00,Lol All you need is to put your hair in two ponytails and you'll look like Harley Quinn! You could definitely pull that look off!,clean,laughing loud need put hair two ponytail look like harley quinn could definitely pull look,"[['amusement', 0.981054425239563], ['joy', 0.9737382531166077], ['neutral', 0.879667341709137]]","{'positive': 1.9547926783561707, 'negative': 0.0, 'neutral': 0.879667341709137}",positive,hair,0.5,1.9547926783561707,0.367282042753561,1.06,True
youtube#comment,2539,30692,0,259614,"It's ""for the record"" by Ooyy",1275651.0,0,2020-02-13 16:16:00+00:00,2020-02-13 16:16:00+00:00,"It's ""for the record"" by Ooyy",clean,record ooyy,"[['pride', 0.9957169890403748], ['admiration', 0.9861935973167419]]","{'positive': 1.9819105863571167, 'negative': 0.0, 'neutral': 0.0}",positive,other,0.0,1.9819105863571167,0.0,0.79,True
youtube#comment,2997236,4942,0,1872074,All that to look just above average teanage boy,,0,2024-03-22 14:25:29+00:00,2024-03-22 14:25:29+00:00,All that to look just above average teanage boy,mild gibberish,look average teanage boy,"[['disappointment', 0.9324607253074646]]","{'positive': 0.0, 'negative': 0.9324607253074646, 'neutral': 0.0}",negative,other,0.0,0.1,0.0,0.0,False
youtube#comment,2515,30692,0,780506,Alright,1558784.0,0,2020-02-12 13:10:35+00:00,2020-02-12 13:10:35+00:00,Alright,mild gibberish,alright,"[['caring', 0.9785076379776001], ['neutral', 0.8407149910926819]]","{'positive': 0.9785076379776001, 'negative': 0.0, 'neutral': 0.8407149910926819}",positive,other,0.0,0.9785076379776001,0.0,0.0,False
youtube#comment,4662277,15366,0,2916157,Please show us what these are like in the sun.,,0,2022-09-25 23:36:49+00:00,2022-09-25 23:36:49+00:00,Please show us what these are like in the sun.,clean,please show us like sun,"[['admiration', 0.9841416478157043], ['love', 0.9639738202095032], ['pride', 0.8952692747116089], ['neutral', 0.8043854832649231]]","{'positive': 2.8433847427368164, 'negative': 0.0, 'neutral': 0.8043854832649231}",positive,other,0.0,2.8433847427368164,0.0,1.14,True
youtube#comment,96146,51730,0,2607618,"This is a great point, thank you!",2309738.0,0,2021-10-17 04:26:39+00:00,2021-10-17 04:26:39+00:00,"This is a great point, thank you!",clean,great point thank,"[['gratitude', 0.9998877048492432], ['admiration', 0.9981570839881897]]","{'positive': 1.9980447888374329, 'negative': 0.0, 'neutral': 0.0}",positive,other,0.0,1.9980447888374329,0.0,0.8,True
youtube#comment,4275012,15366,0,2230360,Pretty brave to try it anyway after dreaming that it would stain 😉,,1,2022-09-23 20:27:08+00:00,2022-09-23 20:27:08+00:00,Pretty brave to try it anyway after dreaming that it would stain 😉,clean,pretty brave try anyway dreaming would stain,"[['admiration', 0.9977171421051025]]","{'positive': 0.9977171421051025, 'negative': 0.0, 'neutral': 0.0}",positive,other,0.0,0.9977171421051025,0.07219355781344529,0.41,False
youtube#comment,7006,30692,0,780506,Share it. Share it. Share it,556493.0,0,2020-04-20 14:08:28+00:00,2020-04-20 14:08:28+00:00,Share it. Share it. Share,clean,share share share,"[['neutral', 0.9939963817596436], ['curiosity', 0.9903836846351624]]","{'positive': 0.9903836846351624, 'negative': 0.0, 'neutral': 0.9939963817596436}",neutral,other,0.0,0.5,0.0,0.2,False
